time,price,quantity,source,buyer,seller,initiator
20190304T153000,104.92,100,Auto trade,,,
20190304T153000,104.93,100,Auto trade,,,
20190304T153000,104.95,300,Auto trade,,,
20190304T153003,104.85,153119,Auto trade,,,
20190304T153003,104.93,100,Auto trade,,,
20190304T153003,104.9,100,Auto trade,,,
20190304T153003,104.91,100,Auto trade,,,
20190304T153003,104.89,100,Auto trade,,,
20190304T153004,104.95,100,Auto trade,,,
20190304T153004,104.97,200,Auto trade,,,
20190304T153004,104.98,100,Auto trade,,,
20190304T153004,105.0,188,Auto trade,,,
20190304T153004,104.99,100,Auto trade,,,
20190304T153006,104.99,100,Auto trade,,,
20190304T153006,105.01,100,Auto trade,,,
20190304T153006,105.0,200,Auto trade,,,
20190304T153008,105.01,100,Auto trade,,,
20190304T153008,104.98,100,Auto trade,,,
20190304T153008,104.96,100,Auto trade,,,
20190304T153009,105.02,2060,Auto trade,,,
20190304T153010,104.8,144,Auto trade,,,
20190304T153011,104.95,100,Auto trade,,,
20190304T153011,104.96,100,Auto trade,,,
20190304T153011,104.95,100,Auto trade,,,
20190304T153011,104.96,100,Auto trade,,,
20190304T153011,104.94,100,Auto trade,,,
20190304T153011,104.93,100,Auto trade,,,
20190304T153011,104.96,100,Auto trade,,,
20190304T153011,104.93,100,Auto trade,,,
20190304T153011,104.94,100,Auto trade,,,
20190304T153011,104.93,100,Auto trade,,,
20190304T153012,104.98,100,Auto trade,,,
20190304T153012,104.93,100,Auto trade,,,
20190304T153013,104.96,100,Auto trade,,,
20190304T153013,104.97,100,Auto trade,,,
20190304T153015,104.95,200,Auto trade,,,
20190304T153016,104.96,105,Auto trade,,,
20190304T153018,104.95,100,Auto trade,,,
20190304T153018,104.96,100,Auto trade,,,
20190304T153018,104.95,200,Auto trade,,,
20190304T153019,104.96,100,Auto trade,,,
20190304T153020,104.96,100,Auto trade,,,
20190304T153023,104.97,290,Auto trade,,,
20190304T153023,104.98,100,Auto trade,,,
20190304T153023,104.97,100,Auto trade,,,
20190304T153023,104.99,106,Auto trade,,,
20190304T153023,104.97,100,Auto trade,,,
20190304T153023,104.99,100,Auto trade,,,
20190304T153023,104.98,100,Auto trade,,,
20190304T153023,104.97,100,Auto trade,,,
20190304T153025,105.0,100,Auto trade,,,
20190304T153025,104.99,200,Auto trade,,,
20190304T153026,105.0,115,Auto trade,,,
20190304T153028,105.02,500,Auto trade,,,
20190304T153030,105.035,100,Auto trade,,,
20190304T153031,105.05,500,Auto trade,,,
20190304T153031,105.03,100,Auto trade,,,
20190304T153031,105.04,100,Auto trade,,,
20190304T153035,105.03,577,Auto trade,,,
20190304T153035,105.02,150,Auto trade,,,
20190304T153036,105.02,400,Auto trade,,,
20190304T153036,105.025,100,Auto trade,,,
20190304T153037,105.0094,2450,Auto trade,,,
20190304T153038,105.0,100,Auto trade,,,
20190304T153038,104.99,207,Auto trade,,,
20190304T153038,104.98,300,Auto trade,,,
20190304T153038,104.97,100,Auto trade,,,
20190304T153041,104.95,100,Auto trade,,,
20190304T153042,104.94,100,Auto trade,,,
20190304T153042,104.95,100,Auto trade,,,
20190304T153043,104.91,500,Auto trade,,,
20190304T153043,104.93,479,Auto trade,,,
20190304T153044,104.9353,1849,Auto trade,,,
20190304T153044,104.93,177,Auto trade,,,
20190304T153045,104.92,200,Auto trade,,,
20190304T153045,104.91,100,Auto trade,,,
20190304T153045,104.92,100,Auto trade,,,
20190304T153045,104.91,100,Auto trade,,,
20190304T153047,104.91,200,Auto trade,,,
20190304T153047,104.92,100,Auto trade,,,
20190304T153047,104.915,100,Auto trade,,,
20190304T153049,104.93,200,Auto trade,,,
20190304T153049,104.94,100,Auto trade,,,
20190304T153049,104.92,100,Auto trade,,,
20190304T153050,104.93,100,Auto trade,,,
20190304T153050,104.94,200,Auto trade,,,
20190304T153052,104.9287,1000,Auto trade,,,
20190304T153054,104.94,100,Auto trade,,,
